#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
fatfury1;Fatal Fury - King of Fighters / Garou Densetsu - Shukumei no Tatakai (NGM-033 ~ NGH-033);mame;;1991;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
kof94;The King of Fighters '94 (NGM-055 ~ NGH-055);mame;;1994;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
quizkof;Quiz King of Fighters (SAM-080 ~ SAH-080);mame;;1995;Saurus (SNK license);Quiz / Japanese;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
kof95a;The King of Fighters '95 (NGM-084, alt board);mame;kof95;1995;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof95;;;4;;;;
kof95;The King of Fighters '95 (NGM-084);mame;;1995;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
kof95h;The King of Fighters '95 (NGH-084);mame;kof95;1995;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof95;;;4;;;;
kof96h;The King of Fighters '96 (NGH-214);mame;kof96;1996;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof96;;;4;;;;
kof96;The King of Fighters '96 (NGM-214);mame;;1996;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
quizkofk;Quiz King of Fighters (Korea);mame;quizkof;1996;Saurus / Viccom (SNK license);Quiz / Japanese;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;quizkof;;;4;;;;
kof97pls;The King of Fighters '97 Plus (bootleg);mame;kof97;1997;bootleg;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof97;;;4;;;;
kof97h;The King of Fighters '97 (NGH-2320);mame;kof97;1997;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof97;;;4;;;;
kof97;The King of Fighters '97 (NGM-2320);mame;;1997;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
kof97oro;The King of Fighters '97 Chongchu Jianghu Plus 2003 (bootleg);mame;kof97;1997;bootleg;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof97;;;4;;;;
kof97k;The King of Fighters '97 (Korean release);mame;kof97;1997;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof97;;;4;;;;
kog;King of Gladiator (The King of Fighters '97 bootleg);mame;kof97;1997;bootleg;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);preliminary;1;raster;kof97;;;4;;;;
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends (NGM-2420);mame;;1998;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
kof98h;The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends (NGH-2420);mame;kof98;1998;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof98;;;4;;;;
kof98h;The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends (NGH-2420);mame;kof98;1998;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof98;;;4;;;;
kof98a;The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends (NGM-2420, alt board);mame;kof98;1998;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof98;;;4;;;;
kof98a;The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends (NGM-2420, alt board);mame;kof98;1998;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;kof98;;;4;;;;
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - Dream Match Never Ends (NGM-2420);mame;;1998;SNK;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;;4;;;;
