#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
sfjan;Street Fighter (Japan, pneumatic buttons);mame;sf;1987;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),pedal,joystick (8-way),pedal;good;1;raster;sf;;;;;;;
sf;Street Fighter (US, set 1);mame;;1987;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;6;;;;
sfj;Street Fighter (Japan) (protected);mame;sf;1987;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf;;;6;;;;
sfjbl;Street Fighter (Japan, bootleg);mame;sf;1987;bootleg;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf;;;6;;;;
sfan;Street Fighter (World, pneumatic buttons);mame;sf;1987;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),pedal,joystick (8-way),pedal;good;1;raster;sf;;;;;;;
sfp;Street Fighter (prototype);mame;sf;1987;Capcom;Fighter / Versus;1P;0;joystick (8-way),pedal,joystick (8-way),pedal;good;1;raster;sf;;;;;;;
sfua;Street Fighter (US, set 2) (protected);mame;sf;1987;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf;;;6;;;;
sfw;Street Fighter (World) (protected);mame;sf;1987;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf;;;6;;;;
strideruc;Strider (USA, B-Board 90629B-3, buggy Street Fighter II conversion);mame;strider;1989;bootleg (Capcom);Platform / Fighter Scrolling;2P alt;0;joystick (8-way),joystick (8-way);good;1;raster;strider;;;3;;;;
tsf2010;Street Fighter 2010 - The Final Fight (handheld);mame;;1990;Tiger Electronics (licensed from Capcom);;1;0;joystick (8-way);good;1;svg;;;;3;;;;
sf2ef;Street Fighter II: The World Warrior (World 910411);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2;Street Fighter II: The World Warrior (World 910522);mame;;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;;;;6;;;;
sf2qp2;Street Fighter II: The World Warrior (Quicken, bootleg);mame;sf2;1991;bootleg;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2thndr;Street Fighter II: The World Warrior (Thunder Edition, bootleg, set 1);mame;sf2;1991;bootleg;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2ed;Street Fighter II: The World Warrior (World 910318);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2ee;Street Fighter II: The World Warrior (World 910228);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2jf;Street Fighter II: The World Warrior (Japan 910411);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2jh;Street Fighter II: The World Warrior (Japan 910522);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2ja;Street Fighter II: The World Warrior (Japan 910214);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2jc;Street Fighter II: The World Warrior (Japan 910306);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2jl;Street Fighter II: The World Warrior (Japan 920312);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2qp1;Street Fighter II: The World Warrior (Quicken Pt-I, bootleg);mame;sf2;1991;bootleg;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2j;Street Fighter II: The World Warrior (Japan 911210, CPS-B-13);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2j17;Street Fighter II: The World Warrior (Japan 911210, CPS-B-17);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2ug;Street Fighter II: The World Warrior (USA 910522, Rev. G);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2uh;Street Fighter II: The World Warrior (USA 910522, Rev. H);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2ud;Street Fighter II: The World Warrior (USA 910318);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2uf;Street Fighter II: The World Warrior (USA 910411);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2um;Street Fighter II: The World Warrior (USA 920312);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2em;Street Fighter II: The World Warrior (World 910129);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2ui;Street Fighter II: The World Warrior (USA 910522, Rev. I);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2uk;Street Fighter II: The World Warrior (USA 911101);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2ub;Street Fighter II: The World Warrior (USA 910214);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2eb;Street Fighter II: The World Warrior (World 910214);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2thndr2;Street Fighter II: The World Warrior (Thunder Edition, bootleg, set 2);mame;sf2;1991;bootleg;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
sf2ua;Street Fighter II: The World Warrior (USA 910206);mame;sf2;1991;Capcom;Fighter / Versus;2P sim;0;joystick (8-way),joystick (8-way);good;1;raster;sf2;;;6;;;;
